Entrez_Gene_ID	Gene_Name
5306	PITPNA
1241	LTB4R
7099	TLR4
91543	RSAD2
23401	FRAT2
64747	MFSD1
9834	KIAA0125
54947	LPCAT2
6457	SH3GL3
271	AMPD2
81620	CDT1
4864	NPC1
55640	FLVCR2
199786	FAM129C
8284	KDM5D
23764	MAFF
3003	GZMK
80005	DOCK5
26191	PTPN22
92140	MTDH
7071	KLF10
91523	PCED1B
3004	GZMM
4216	MAP3K4
64844	MACRH7
144165	PRICKLE1
23308	ICOSLG
201799	TMEM154
53637	S1PR5
23023	TMCC1
923	CD6
55173	MRPS10
84243	ZDHHC18
7474	WNT5A
7127	TNFAIP2
23761	PISD
55972	SLC25A40
388272	C16orf87
137695	TMEM68
92241	RCSD1
4094	MAF
29028	ATAD2
5341	PLEK
1236	CCR7
5378	PMS1
1536	CYBB
23030	KDM4B
387751	GVINP1
57826	RAP2C
4775	NFATC3
56160	NDNL2
8034	SLC25A16
89849	ATG16L2
7296	TXNRD1
10673	TNFSF13B
3824	KLRD1
8320	EOMES
58516	FAM60A
84166	NLRC5
2268	FGR
4938	OAS1
29089	UBE2T
83666	PARP9
4939	OAS2
8870	IER3
83888	FGFBP2
6361	CCL17
55388	MCM10
2357	FPR1
50810	HDGFRP3
6846	XCL2
10096	ACTR3
84236	RHBDD1
55573	CDV3
196383	RILPL2
3162	HMOX1
144195	SLC2A14
5230	PGK1
219771	CCNY
6418	SET
8650	NUMB
6776	STAT5A
8073	PTP4A2
9744	ACAP1
10859	LILRB1
81567	TXNDC5
1854	DUT
84882	AIFM2
7462	LAT2
2788	GNG7
9761	MLEC
51429	SNX9
1116	CHI3L1
3813	KIR3DS1
81030	ZBP1
115350	FCRL1
22936	ELL2
157285	SGK223
89857	KLHL6
8689	S1PR4
55809	TRERF1
90390	MED30
6916	TBXAS1
29760	BLNK
399	RHOH
6891	TAP2
9232	PTTG1
151636	DTX3L
30844	EHD4
8519	IFITM1
1200	TPP1
2118	ETV4
152518	NFXL1
55024	BANK1
259197	NCR3
6731	SRP72
1021	CDK6
151963	MB21D2
3437	IFIT3
51199	NIN
23178	PASK
639	PRDM1
5806	PTX3
7037	TFRC
3055	HCK
56902	PNO1
28962	OSTM1
151246	SGOL2
121260	SLC15A4
3275	PRMT2
5163	PDK1
2319	FLOT2
2838	GPR15
60489	APOBEC3G
54739	XAF1
10906	TRAFD1
8243	SMC1A
7941	PLA2G7
64926	RASAL3
55775	TDP1
64393	ZMAT3
441168	FAM26F
199	AIF1
3142	HLX1
5729	PTGDR
3105	HLA-A
5778	PTPN7
5995	Rgr
54069	C21orf45
29916	SNX11
55707	NECAP2
5732	PTGER2
57118	CAMK1D
8540	AGPS
6039	RNASE6
9976	CLEC2B
