Entrez_Gene_ID	Gene_Name
28375	IGHVII-20-1
3507	IGHM
28783	IGLV5-37
28782	IGLV5-39
3529	IGKV2OR22-3
28847	IGKV2OR22-4
28374	IGHVII-22-1
28778	IGLV6-57
28871	IGKV3D-34
28863	IGKV1OR2-11
28777	IGLV7-35
28872	IGKV3D-31
28317	IGHV4OR15-8
28915	IGKV3-7
28942	IGKV1-8
28299	IGKV1-5
28943	IGKV1-6
3495	IGHD
28941	IGKV1-9
3497	IGHE
28776	IGLV7-43
28908	IGKV4-1
28870	IGKV6D-21
28929	IGKV2-4
84096	IGLCOR22-1
84086	IGLCOR22-2
28874	IGKV3D-20
28873	IGKV3D-25
28360	IGHVII-62-1
28828	IGLJ6
28827	IGLJ7
28830	IGLJ4
28829	IGLJ5
28832	IGLJ2
28831	IGLJ3
28833	IGLJ1
3514	IGKC
28876	IGKV3D-11
28875	IGKV3D-15
28810	IGLV2-34
28493	IGHD4-23
28337	IGHVIV-44-1
28780	IGLV5-48
28811	IGLV2-33
28781	IGLV5-45
28779	IGLV5-52
28869	IGKV6D-41
84087	IGLVIVOR22-2
84088	IGLVIVOR22-1
3523	IGKV3OR2-268
28834	IGLC7
28785	IGLV4-60
3541	IGLC5
3542	IGLC6
28339	IGHVIII-76-1
28774	IGLV8-61
28370	IGHVII-31-1
100310869	IGKV2OR2-7D
28784	IGLV4-69
28474	IGHV1-2
28473	IGHV1-3
28457	IGHV2-5
28756	IGLV8OR8-1
28817	IGLV2-8
28818	IGLV2-5
28472	IGHV1-8
28401	IGHV4-4
28809	IGLV3-1
28451	IGHV3-9
28808	IGLV3-2
28452	IGHV3-7
28807	IGLV3-4
28453	IGHV3-6
28805	IGLV3-7
28806	IGLV3-6
28804	IGLV3-9
28385	IGHV6-1
3538	IGLC2
3537	IGLC1
3540	IGLC4
28786	IGLV4-3
3539	IGLC3
28381	IGHV7-40
28340	IGHVIII-67-4
28342	IGHVIII-67-2
28341	IGHVIII-67-3
28854	IGKV3OR2-5
84090	IGLVVI-25-1
28347	IGHVIII-26-1
28371	IGHVII-30-1
28387	IGHV5-78
28383	IGHV7-27
28906	IGKV6-21
390530	IGHV1OR21-1
28462	IGHV1-68
28461	IGHV1-69
28463	IGHV1-67
28504	IGHD2-8
3525	IGKV1OR1-1
28496	IGHD4-4
3499	IGHEP2
3498	IGHEP1
28376	IGHVII-15-1
28364	IGHVII-49-1
3527	IGKV3OR22-2
3492	IGH
3535	IGL
50802	IGK
28344	IGHVIII-47-1
28916	IGKV2-40
28378	IGHV7-81
28937	IGKV1-17
28938	IGKV1-16
28939	IGKV1-13
28940	IGKV1-12
28497	IGHD3-22
28333	IGHD2OR15-2A
28306	IGHV3OR16-10
28465	IGHV1-46
28332	IGHD2OR15-2B
28305	IGHV3OR16-11
28466	IGHV1-45
28304	IGHV3OR16-12
28917	IGKV2-38
28886	IGKV2D-23
28884	IGKV2D-26
28813	IGLV2-23
28885	IGKV2D-24
28919	IGKV2-30
28812	IGLV2-28
28883	IGKV2D-28
28882	IGKV2D-29
28918	IGKV2-36
28904	IGKV1D-8
28498	IGHD3-16
28935	IGKV1-27
28758	IGLVV-58
28936	IGKV1-22
28356	IGHVII-78-1
28499	IGHD3-10
28464	IGHV1-58
28300	IGHV3OR16-16
28920	IGKV2-29
28816	IGLV2-11
28301	IGHV3OR16-15
28921	IGKV2-28
28890	IGKV2D-10
100568447	IGHV3OR16-14
28922	IGKV2-26
100287372	IGHV3OR16-13
28815	IGLV2-14
28889	IGKV2D-14
28501	IGHD3-3
28348	IGHVIII-25-1
28505	IGHD2-2
28814	IGLV2-18
28888	IGKV2D-18
28887	IGKV2D-19
28757	IGLVV-66
28923	IGKV2-24
28924	IGKV2-23
28367	IGHVII-43-1
28353	IGHVIII-5-2
28354	IGHVIII-5-1
28467	IGHV1-24
28878	IGKV2D-40
28500	IGHD3-9
28355	IGHVIII-2-1
28366	IGHVII-44-2
28864	IGKV1OR2-9
28865	IGKV1OR2-6
28925	IGKV2-19
28866	IGKV1OR2-3
3531	IGKV1OR2-1
28867	IGKV1OR2-0
28926	IGKV2-18
28775	IGLV7-46
28927	IGKV2-14
28928	IGKV2-10
28380	IGHV7-56
28763	IGLVI-70
3530	IGKV1OR22-1
28881	IGKV2D-30
28880	IGKV2D-36
28879	IGKV2D-38
28850	IGKV1OR22-5
28368	IGHVII-40-1
28455	IGHV2-26
100129631	IGHV2OR16-5
28761	IGLVIV-59
28318	IGHV3OR15-7
28762	IGLVIV-53
28470	IGHV1-14
28766	IGLVI-56
28471	IGHV1-12
28469	IGHV1-17
28468	IGHV1-18
28489	IGHD5-24
28788	IGLV3-31
28787	IGLV3-32
100312985	IGKV1OR15-118
28789	IGLV3-30
390531	IGHV1OR15-9
28475	IGHJ6
28476	IGHJ5
100384884	IGHV1OR15-5
642424	IGKV1OR10-1
28477	IGHJ4
28320	IGHV1OR15-6
28479	IGHJ3
646370	IGHV1OR15-3
28481	IGHJ2
646379	IGHV1OR15-4
28483	IGHJ1
388077	IGHV1OR15-1
28759	IGLVIV-65
28456	IGHV2-10
100287128	IGHV1OR15-2
28760	IGLVIV-64
28450	IGHV3-11
28509	IGHD1-7
28764	IGLVI-68
28930	IGKV1-39
28490	IGHD5-18
28790	IGLV3-29
28931	IGKV1-37
28765	IGLVI-63
28792	IGLV3-26
28446	IGHV3-19
28791	IGLV3-27
28932	IGKV1-35
28794	IGLV3-24
28934	IGKV1-32
28793	IGLV3-25
28933	IGKV1-33
644731	IGKV1OR-3
28795	IGLV3-22
28448	IGHV3-15
28491	IGHD5-12
3532	IGKV1OR-2
28447	IGHV3-16
28449	IGHV3-13
3534	IGKV1OR-4
28796	IGLV3-21
28373	IGHVII-26-2
28768	IGLVI-38
28362	IGHVII-53-1
28510	IGHD1-1
28343	IGHVIII-51-1
28798	IGLV3-17
28363	IGHVII-51-2
28797	IGLV3-19
28445	IGHV3-20
28444	IGHV3-21
28443	IGHV3-22
28442	IGHV3-23
28441	IGHV3-25
28803	IGLV3-10
28802	IGLV3-12
28801	IGLV3-13
204777	IGLJCOR18
28440	IGHV3-29
28800	IGLV3-15
28799	IGLV3-16
28772	IGLV10-54
28338	IGHVIII-82
28767	IGLVI-42
28439	IGHV3-30
28434	IGHV3-33
28435	IGHV3-32
28430	IGHV3-37
28429	IGHV3-38
28432	IGHV3-35
28431	IGHV3-36
3500	IGHG1
3501	IGHG2
3502	IGHG3
28388	IGHV5-51
3503	IGHG4
84097	IGLVIV-66-1
28862	IGKV1OR2-108
28307	IGHV3OR16-9
388255	IGHV3OR16-8
28309	IGHV3OR16-7
647187	IGHV3OR16-6
28909	IGKV3-34
28893	IGKV1D-39
28478	IGHJ3P
28894	IGKV1D-37
28910	IGKV3-31
28895	IGKV1D-35
28897	IGKV1D-32
28896	IGKV1D-33
28488	IGHD6-6
28892	IGKV1D-42
28502	IGHD2-21
28877	IGKV3D-7
339562	IGKV1OR2-118
28492	IGHD5-5
28484	IGHD7-27
57289	IGHV7-4-1
28773	IGLV9-49
28365	IGHVII-46-1
28891	IGKV1D-43
28769	IGLVI-20
28907	IGKV5-2
28346	IGHVIII-38-1
28503	IGHD2-15
28903	IGKV1D-12
28902	IGKV1D-13
28905	IGKV7-3
28914	IGKV3-11
28901	IGKV1D-16
28900	IGKV1D-17
28913	IGKV3-15
28819	IGLV1-62
3505	IGHGP
28899	IGKV1D-22
28350	IGHVIII-16-1
28912	IGKV3-20
28345	IGHVIII-44
28911	IGKV3-25
28898	IGKV1D-27
28825	IGLV1-40
28824	IGLV1-41
28487	IGHD6-13
28823	IGLV1-44
28358	IGHVII-67-1
28397	IGHV4-30-4
28822	IGLV1-47
28398	IGHV4-30-2
28399	IGHV4-30-1
28377	IGHVII-1-1
28486	IGHD6-19
28335	IGHD1OR15-1A
103106901	IGHV3-43D
28391	IGHV4-61
28404	IGHV3-38-3
28361	IGHVII-60-1
28821	IGLV1-50
28820	IGLV1-51
28770	IGLV11-55
28359	IGHVII-65-1
28389	IGHV4-38-2
28393	IGHV4-55
28349	IGHVIII-22-2
28328	IGHD4OR15-4B
28329	IGHD4OR15-4A
28392	IGHV4-59
28402	IGHV3-69-1
28855	IGKV2OR2-10
28482	IGHJ1P
28331	IGHD3OR15-3A
102723168	IGHV2-70D
28330	IGHD3OR15-3B
28508	IGHD1-14
28460	IGHV1-38-4
28357	IGHVII-74-1
28859	IGKV2OR2-2
28861	IGKV2OR2-1
28826	IGLV1-36
28485	IGHD6-25
28480	IGHJ2P
89770	IGHV3-30-5
28494	IGHD4-17
28858	IGKV2OR2-4
28438	IGHV3-30-2
57290	IGHV3-30-3
28390	IGHV4-80
28495	IGHD4-11
28433	IGHV3-33-2
28506	IGHD1-26
28334	IGHD1OR15-1B
652873	IGKV2OR2-7
100996600	IGKV2OR2-8
28507	IGHD1-20
28454	IGHV2-70
28423	IGHV3-49
28424	IGHV3-48
28425	IGHV3-47
28426	IGHV3-43
28427	IGHV3-42
28428	IGHV3-41
28313	IGHV1OR16-3
28314	IGHV1OR16-2
28315	IGHV1OR16-1
28400	IGHV4-28
28312	IGHV1OR16-4
107548099	IGHVII-30-21
28771	IGLV10-67
28949	IGKJ2
28950	IGKJ1
439957	IGKV1ORY-1
28418	IGHV3-57
28947	IGKJ4
28386	IGHV5-10-1
28948	IGKJ3
28419	IGHV3-54
28946	IGKJ5
28420	IGHV3-53
28352	IGHVIII-11-1
28422	IGHV3-50
28421	IGHV3-52
84091	IGLVVI-22-1
28351	IGHVIII-13-1
28326	IGHD5OR15-5B
28327	IGHD5OR15-5A
28415	IGHV3-63
28416	IGHV3-62
28417	IGHV3-60
28412	IGHV3-66
28413	IGHV3-65
28414	IGHV3-64
102723169	IGHV1-69D
28372	IGHVII-28-1
3493	IGHA1
84089	IGLVVII-41-1
3494	IGHA2
28369	IGHVII-33-1
28405	IGHV3-79
28410	IGHV3-72
28411	IGHV3-71
28408	IGHV3-74
28409	IGHV3-73
28406	IGHV3-76
28407	IGHV3-75
28394	IGHV4-39
28458	IGHV1-69-2
28396	IGHV4-31
28382	IGHV7-34-1
28395	IGHV4-34
