Entrez_Gene_ID	Gene_Name
2157	F8
2322	FLT3
3937	LCP2
1432	MAPK14
967	CD63
8743	TNFSF10
930	CD19
2219	FCN1
7040	TGFB1
2358	FPR2
9021	SOCS3
708	C1QBP
731	C8A
9994	CASP8AP2
3572	IL6ST
5479	PPIB
8915	BCL10
5005	ORM2
10747	MASP2
3394	IRF8
420	ART4
2267	FGL1
3579	CXCR2
5720	PSME1
2833	CXCR3
3110	MNX1
3133	HLA-E
81035	COLEC12
3594	IL12RB1
63916	ELMO2
2165	F13B
7980	TFPI2
7732	RNF112
10326	SIRPB1
2995	GYPC
259307	IL4I1
5155	PDGFB
3557	IL1RN
29851	ICOS
56832	IFNK
3604	TNFRSF9
1472	CST4
23545	ATP6V0A2
2155	F7
79465	ULBP3
1831	TSC22D3
4601	MXI1
6349	CCL3L1
3120	HLA-DQB2
5172	SLC26A4
3444	IFNA7
624	BDKRB2
6863	TAC1
10437	IFI30
3689	ITGB2
9516	LITAF
3812	KIR3DL2
8737	RIPK1
3586	IL10
9902	MRC2
2533	FYB
715	C1R
653145	ANXA8
55540	IL17RB
197	AHSG
5320	PLA2G2A
84433	CARD11
6885	MAP3K7
23054	NCOA6
3569	IL6
53832	IL20RA
8858	PROZ
7186	TRAF2
5328	PLAU
171558	PTCRA
1511	CTSG
8718	TNFRSF25
54756	IL17RD
55655	NLRP2
80741	LY6G5C
6059	ABCE1
3105	HLA-A
943	TNFRSF8
5684	PSMA3
9407	TMPRSS11D
29949	IL19
3118	HLA-DQA2
23098	SARM1
11126	CD160
1052	CEBPD
913	CD1E
5455	POU3F3
2523	FUT1
27242	TNFRSF21
27179	IL36A
3998	LMAN1
1493	CTLA4
4170	MCL1
2920	CXCL2
10197	PSME3
192134	B3GNT6
134728	IRAK1BP1
834	CASP1
7453	WARS
6693	SPN
7066	THPO
50852	TRAT1
3303	HSPA1A
8936	WASF1
6556	SLC11A1
27181	SIGLEC8
3448	IFNA14
140	ADORA3
10385	BTN2A2
55801	IL26
10143	CLEC3A
4210	MEFV
5704	PSMC4
57105	CYSLTR2
7096	TLR1
3482	IGF2R
27250	PDCD4
945	CD33
56477	CCL28
5624	PROC
4795	NFKBIL1
563	AZGP1
3654	IRAK1
1755	DMBT1
1380	CR2
52	ACP1
6773	STAT2
3454	IFNAR1
3304	HSPA1B
3115	HLA-DPB1
5994	RFXAP
6372	CXCL6
838	CASP5
3077	HFE
7072	TIA1
1524	CX3CR1
5004	ORM1
