Entrez_Gene_ID	Gene_Name
207	AKT1
409	ARRB2
661	POLR3D
801	CALM1
815	CAMK2A
983	CDK1
1026	CDKN1A
1385	CREB1
1386	ATF2
1508	CTSB
1513	CTSK
1540	CYLD
1650	DDOST
1654	DDX3X
1660	DHX9
1845	DUSP3
1846	DUSP4
1848	DUSP6
1849	DUSP7
1956	EGFR
2033	EP300
2252	FGF7
2268	FGR
2309	FOXO3
2353	FOS
2475	MTOR
2547	XRCC6
2549	GAB1
2932	GSK3B
3146	HMGB1
3265	HRAS
3320	HSP90AA1
3326	HSP90AB1
3500	IGHG1
3501	IGHG2
3503	IGHG4
3514	IGKC
3669	ISG20
3708	ITPR1
3710	ITPR3
3934	LCN2
4205	MEF2A
4208	MEF2C
4254	KITLG
4343	MOV10
4893	NRAS
5027	P2RX7
5094	PCBP2
5137	PDE1C
5137	PDE1C
5153	PDE1B
5153	PDE1B
5199	CFP
5289	PIK3C3
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5294	PIK3CG
5295	PIK3R1
5300	PIN1
5336	PLCG2
5359	PLSCR1
5530	PPP3CA
5534	PPP3R1
5566	PRKACA
5578	PRKCA
5581	PRKCE
5589	PRKCSH
5591	PRKDC
5598	MAPK7
5601	MAPK9
5646	PRSS3
5728	PTEN
5771	PTPN2
5781	PTPN11
5879	RAC1
5987	TRIM27
6037	RNASE3
6041	RNASEL
6195	RPS6KA1
6196	RPS6KA2
6197	RPS6KA3
6197	RPS6KA3
6233	RPS27A
6278	S100A7
6285	S100B
6732	SRPK1
6733	SRPK2
6737	TRIM21
7295	TXN
7297	TYK2
7301	TYRO3
7311	UBA52
7314	UBB
7316	UBC
7318	UBA7
7323	UBE2D3
7334	UBE2N
7335	UBE2V1
7520	XRCC5
7706	TRIM25
7726	TRIM26
7867	MAPKAPK3
8554	PIAS1
8711	TNK1
8876	VNN1
8887	TAX1BP1
9051	PPIP1
9051	PSTPIP1
9140	ATG12
9208	LRRFIP1
9246	UBE2L6
9252	RPS6KA5
9474	ATG5
10206	TRIM13
10241	CALCOCO2
10318	TNIP1
10417	SPON2
10454	TAB1
10621	POLR3F
10622	POLR3G
10623	POLR3C
10628	TXNIP
10695	CNPY3
10892	MALT1
10906	TRAFD1
10910	SUGT1
11035	RIPK3
11043	MID2
11128	POLR3A
11151	CORO1A
23180	RFTN1
23586	DDX58
24145	PANX1
26007	DAK
26057	ANKRD17
30849	PIK3R4
51191	HERC5
51428	DDX41
51728	POLR3K
54941	RNF125
55223	TRIM62
55593	OTUD5
55601	DDX60
55703	POLR3B
55718	POLR3E
56829	ZC3HAV1
57161	PELI2
57162	PELI1
57506	MAVS
57761	TRIB3
58509	CACTIN
64135	IFIH1
64170	CARD9
64223	MLST8
79132	DHX58
79594	MUL1
79671	NLRX1
79931	TNIP3
80143	SIKE1
81030	ZBP1
81603	TRIM8
81622	UNC93B1
81844	TRIM56
84166	NLRC5
84282	RNF135
85363	TRIM5
89870	TRIM15
91543	RSAD2
93978	CLEC6A
115004	MB21D1
147945	NLRP4
148022	TICAM1
153090	DAB2IP
170506	DHX36
171568	POLR3H
200315	APOBEC3A
200316	APOBEC3F
246330	PELI3
253260	RICTOR
257397	TAB3
260434	PYDC1
284266	SIGLEC15
338339	CLEC4D
340061	TMEM173
345611	IRGM
359710	BPIFB3
25	ABL1
60	ACTB
71	ACTG1
103	ADAR
107	ADCY1
108	ADCY2
109	ADCY3
111	ADCY5
112	ADCY6
113	ADCY7
114	ADCY8
115	ADCY9
133	ADM
156	ADRBK1
177	AGER
199	AIF1
329	BIRC2
330	BIRC3
417	ART1
445	ASS1
466	ATF1
572	BAD
596	BCL2
598	BCL2L1
629	CFB
640	BLK
684	BST2
685	BTC
695	BTK
