Entrez_Gene_ID	Gene_Name
782  	CACNB1
2005  	ELK4
1326  	MAP3K8
2251  	FGF6
3305  	HSPA1L
123745  	PLA2G4E
1386  	ATF2
10912  	GADD45G
7850  	IL1R2
2316  	FLNA
6416  	MAP2K4
1849  	DUSP7
9254  	CACNA2D2
5568  	PRKACG
283748  	PLA2G4D
2246  	FGF1
2247  	FGF2
11184  	MAP4K1
5058  	PAK1
10125  	RASGRP1
779  	CACNA1S
5598  	MAPK7
25780  	RASGRP3
1398  	CRK
7124  	TNF
27330  	RPS6KA6
1846  	DUSP4
59285  	CACNG6
5906  	RAP1A
4772  	NFATC1
9693  	RAPGEF2
2254  	FGF9
5530  	PPP3CA
5602  	MAPK10
3551  	IKBKB
8911  	CACNA1I
4909  	NTF4
3554  	IL1R1
2885  	GRB2
4915  	NTRK2
7048  	TGFBR2
5922  	RASA2
2257  	FGF12
6195  	RPS6KA1
5604  	MAP2K1
7186  	TRAF2
9448  	MAP4K4
4791  	NFKB2
648044  	guanine nucleotide binding protein (G protein)
51347  	TAOK3
9020  	MAP3K14
6654  	SOS1
5494  	PPM1A
9965  	FGF19
5601  	MAPK9
5533  	PPP3CC
8823  	FGF16
4893  	NRAS
3727  	JUND
8986  	RPS6KA4
3315  	HSPB1
3164  	NR4A1
93589  	CACNA2D4
2252  	FGF7
2317  	FLNB
1950  	EGF
8491  	MAP4K3
208  	AKT2
1845  	DUSP3
5155  	PDGFB
776  	CACNA1D
2872  	MKNK2
1847  	DUSP5
2263  	FGFR2
2248  	FGF3
775  	CACNA1C
785  	CACNB4
408  	ARRB1
23162  	MAPK8IP3
4790  	NFKB1
777  	CACNA1E
10000  	AKT3
7157  	TP53
11221  	DUSP10
7042  	TGFB2
9479  	MAPK8IP1
2253  	FGF8
773  	CACNA1A
4616  	GADD45B
4216  	MAP3K4
2353  	FOS
5609  	MAP2K7
3725  	JUN
27091  	CACNG5
5606  	MAP2K3
5894  	RAF1
2249  	FGF4
4149  	MAX
7040  	TGFB1
3312  	HSPA8
100506012  	PPP5D1
5599  	MAPK8
4775  	NFATC3
836  	CASP3
6197  	RPS6KA3
8517  	IKBKG
9344  	TAOK2
4908  	NTF3
5595  	MAPK3
998  	CDC42
5600  	MAPK11
4342  	MOS
3265  	HRAS
207  	AKT1
3310  	HSPA6
51776  	ZAK
59283  	CACNG8
2318  	FLNC
10746  	MAP3K2
4208  	MEF2C
6885  	MAP3K7
4296  	MAP3K11
8605  	PLA2G4C
26291  	FGF21
5924  	RASGRF2
1432  	MAPK14
786  	CACNG1
9175  	MAP3K13
4609  	MYC
1848  	DUSP6
673  	BRAF
5923  	RASGRF1
781  	CACNA2D1
9064  	MAP3K6
7786  	MAP3K12
5871  	MAP4K2
5321  	PLA2G4A
9252  	RPS6KA5
4214  	MAP3K1
6789  	STK4
3553  	IL1B
1647  	GADD45A
1147  	CHUK
4137  	MAPT
80824  	DUSP16
5608  	MAP2K6
6237  	RRAS
2255  	FGF10
468  	ATF4
22808  	MRAS
5495  	PPM1B
5603  	MAPK13
5582  	PRKCG
5579  	PRKCB
2250  	FGF5
8912  	CACNA1H
994  	CDC25B
7043  	TGFB3
1844  	DUSP2
1649  	DDIT3
9261  	MAPKAPK2
5154  	PDGFA
8913  	CACNA1G
5566  	PRKACA
2122  	MECOM
4215  	MAP3K3
10235  	RASGRP2
1852  	DUSP9
6722  	SRF
8817  	FGF18
5613  	PRKX
8569  	MKNK1
5535  	PPP3R2
774  	CACNA1B
5778  	PTPN7
2264  	FGFR4
51701  	NLK
3925  	STMN1
5156  	PDGFRA
6655  	SOS2
2258  	FGF13
55799  	CACNA2D3
3552  	IL1A
355  	FAS
55970  	GNG12
10369  	CACNG2
356  	FASLG
5921  	RASA1
2768  	GNA12
7132  	TNFRSF1A
10368  	CACNG3
8822  	FGF17
5062  	PAK2
1850  	DUSP8
409  	ARRB2
5567  	PRKACB
5970  	RELA
4763  	NF1
8681  	JMJD7-PLA2G4B
5881  	RAC3
929  	CD14
27006  	FGF22
2259  	FGF14
3304  	HSPA1B
3306  	HSPA2
4914  	NTRK1
7046  	TGFBR1
7867  	MAPKAPK3
5578  	PRKCA
5532  	PPP3CB
255189  	PLA2G4F
2260  	FGFR1
5880  	RAC2
1616  	DAXX
6196  	RPS6KA2
5605  	MAP2K2
2256  	FGF11
27092  	CACNG4
10454  	TAB1
5159  	PDGFRB
26281  	FGF20
1399  	CRKL
59284  	CACNG7
5908  	RAP1B
784  	CACNB3
5536  	PPP5C
5534  	PPP3R1
4803  	NGF
23118  	TAB2
7189  	TRAF6
1843  	DUSP1
115727  	RASGRP4
51295  	ECSIT
1956  	EGFR
5801  	PTPRR
8074  	FGF23
5607  	MAP2K5
57551  	TAOK1
778  	CACNA1F
6788  	STK3
23542  	MAPK8IP2
84867  	PTPN5
100137049  	PLA2G4B
3303  	HSPA1A
627  	BDNF
783  	CACNB2
4217  	MAP3K5
22800  	RRAS2
6300  	MAPK12
5971  	RELB
5879  	RAC1
2261  	FGFR3
8649  	LAMTOR3
3845  	KRAS
5594  	MAPK1
8550  	MAPKAPK5
2002  	ELK1
