Entrez_Gene_ID	Gene_Name
25	ABL1 
57188	ADAMTSL3
9472	AKAP6
207	AKT1
238	ALK
577	BAI3
53335	BCL11A
673	BRAF
867	CBL
26038	CHD5
1301	COL11A1
1436	CSF1R
1499	CTNNB1
124936	CYB5D2
85443	DCLK3
1607	DGKB
1769	DNAH8
10570	DPYSL4
25975	EGFL6
1956	EGFR
2033	EP300
2042	EPHA3
2044	EPHA5
285220	EPHA6
2045	EPHA7
2051	EPHB6
2064	ERBB2
2074	ERCC6
2081	ERN1
2260	FGFR1
2263	FGFR2
2261	FGFR3
2218	FKTN
2317	FLNB
2322	FLT3
2335	FN1
668	FOXL2
2475	MTOR
2735	GLI1
2776	GNAQ
2778	GNAS
27333	GOLIM4
3265	HRAS
3417	IDH1
3418	IDH2
3709	ITPR2
3717	JAK2
371	JAK3
55614	KIF16B
3815	KIT
3845	KRAS
4233	MET
8085	KMT2D
58508	KMT2C
9757	KMT2B
4313	MMP2
4352	MPL
4627	MYH9
4430	MYO1B
23154	NCDN
152110	NEK10
126205	NLRP8
4893	NRAS
4916	NTRK3
10178	TENM1
5156	PDGFRA
5290	PIK3CA
5295	PIK3R1
5314	PKHD1
5591	PRKDC
5781	PTPN11
5788	PTPRC
11122	PTPRT
5924	RASGRF2
5979	RET
55183	RIF1
4919	ROR1
6098	ROS1
6608	SMO
23013	SPEN
23345	SYNE1
56155	TEX14
 54929	TMEM161A
943	TNFRSF8
7204	TRIO
8295	TRRAP
7253	TSHR
7273	TTN
51366	UBR5
157680	VPS13B
65125	WNK1
10006	ABI1
27	ABL2
2181	ACSL3
57082	CASC5
10962	MLLT11
51517	NCKIPSD
27125	AF5q31
10142	AKAP9
208	AKT2
217	ALDH2
57674	RNF213
139285	AMER1
324	APC
23365	ARHGEF12
399	ARHH
8289	ARID1A
196528	ARID2
405	ARNT
79058	ASPSCR1
171023	ASXL1
466	ATF1
471	ATIC
472	ATM
476	ATP1A1
492	ATP2B3
546	ATRX
8312	AXIN1
8314	BAP1
8915	BCL10
64919	BCL11B
596	BCL2
602	BCL3
603	BCL5
604	BCL6
605	BCL7A
607	BCL9
54880	BCOR
613	BCR
201163	FLCN
330	BIRC3
641	BLM
657	BMPR1A
672	BRCA1
675	BRCA2
8019	BRD3
23476	BRD4
83990	BRIP1
694	BTG1
701	BUB1B
283651	HMGN2P46
256646	NUTM1
116028	RMI2
80304	C2orf44
776	CACNA1D
811	CALR
23261	CAMTA1
124583	CANT1
84433	CARD11
833	CARS
841	CASP8
862	CBFA2T1
863	CBFA2T3
865	CBFB
868	CBLB
23624	CBLC
57820	CCNB1IP1
595	CCND1
894	CCND2
896	CCND3
898	CCNE1
80380	PDCD1LG2
29126	CD274
972	CD74
973	CD79A
974	CD79B
79577	CDC73
999	CDH1
1009	CDH11
51755	CDK12
1019	CDK4
1021	CDK6
1029	CDKN2A
1031	CDKN2C
1045	CDX2
1050	CEBPA
11064	CNTRL
79145	CHCHD7
11200	CHEK2
26511	CHIC2
1123	CHN1
23152	CIC
4261	CIITA
1213	CLTC
8218	CLTCL1
57007	ACKR3
4849	CNOT3
1277	COL1A1
1316	KLF6
1345	COX6C
1385	CREB1
90993	CREB3L1
64764	CREB3L2
1387	CREBBP
64109	CRLF2
64784	CRTC3
1441	CSF3R
1540	CYLD
8030	CCDC6
1616	DAXX
1643	DDB2
1649	DDIT3
1662	DDX10
1655	DDX5
1656	DDX6
7913	DEK
23405	DICER1
1785	DNM2
1788	DNMT3A
22947	DUX4L1
1879	EBF1
345930	ECT2L
1974	EIF4A2
2000	ELF4
2005	ELK4
23085	ELKS
8178	ELL
2006	ELN
27436	EML4
2060	EPS15
2068	ERCC2
2071	ERCC3
2072	ERCC4
2073	ERCC5
2078	ERG
2115	ETV1
2118	ETV4
2119	ETV5
2120	ETV6
2131	EXT1
2132	EXT2
2146	EZH2
7430	EZR
23305	ACSL6
54855	FAM46C
2175	FANCA
2176	FANCC
2177	FANCD2
2178	FANCE
2188	FANCF
2189	FANCG
355	FAS
80204	FBXO11
55294	FBXW7
2213	FCGR2B
54738	FEV
11116	FGFR1OP
2271	FH
2272	FHIT
81608	FIP1L1
2313	FLI1
145788	C15orf65
3169	FOXA1
2308	FOXO1A
27086	FOXP1
10272	FSTL3
8880	FUBP1
2521	FUS
2531	KDSR
8522	GAS7
2623	GATA1
2624	GATA2
2625	GATA3
8833	GMPS
2767	GNA11
9950	GOLGA5
57120	GOPC
2719	GPC3
10243	GPHN
23092	ARHGAP26
3021	H3F3B
92521	SPECC1
10978	CLP1
9709	HERPUD1
23462	HEY1
3092	HIP1
3020	HIST1H3B
8294	HIST1H4I
3131	HLF
3110	MNX1
3159	HMGA1
8091	HMGA2
3181	HNRNPA2B1
84376	HOOK3
3207	HOXA11
3209	HOXA13
3205	HOXA9
3227	HOXC11
3229	HOXC13
3237	HOXD11
3239	HOXD13
3320	HSPCA
3326	HSPCB
3492	IGH
50802	IGK
3535	IGL
10320	IKZF1
3558	IL2
50615	IL21R
3572	IL6ST
3575	IL7R
3662	IRF4
83417	FCRL4
3702	ITK
3716	JAK1
221895	JAZF1
3725	JUN
3762	KCNJ5
5927	KDM5A
8242	KDM5C
7403	KDM6A
3791	KDR
3799	KIF5B
9314	KLF4
3817	KLK2
3895	KTN1
3899	AFF3
3927	LASP1
3932	LCK
3936	LCP1
80312	TET1
10186	LHFP
3977	LIFR
4004	LMO1
4005	LMO2
4026	LPP
121227	LRIG3
4066	LYL1
4089	SMAD4
4094	MAF
9935	MAFB
378938	MALAT1
10892	MALT1
84441	MAML2
5604	MAP2K1
5605	MAP2K2
6416	MAP2K4
4149	MAX
4193	MDM2
4194	MDM4
2122	MDS1
259283	MDS2
23373	MECT1
9968	MED12
4221	MEN1
4286	MITF
57591	MKL1
4291	MLF1
4292	MLH1
4297	MLL
4298	MLLT1
8028	MLLT10
4299	MLLT2
4300	MLLT3
4301	MLLT4
4302	MLLT6
4303	MLLT7
4330	MN1
10801	40057
4436	MSH2
2956	MSH6
124540	MSI2
4478	MSN
4515	MTCP1
4582	MUC1
4595	MUTYH
4602	MYB
4609	MYC
4610	MYCL1
4613	MYCN
4615	MYD88
4629	MYH11
23522	KAT6B
4666	NACA
4683	NBS1
8648	NCOA1
10499	NCOA2
8031	NCOA4
10397	NDRG1
4763	NF1
4771	NF2
4780	NFE2L2
4781	NFIB
4791	NFKB2
51199	NIN
7080	NKX2-1
4841	NONO
4851	NOTCH1
4853	NOTCH2
4869	NPM1
8013	NR4A3
64324	NSD1
22978	NT5C2
4914	NTRK1
4926	NUMA1
8021	NUP214
4928	NUP98
728118	NUTM2A
729262	NUTM2B
10215	OLIG2
4958	OMD
286530	P2RY8
5049	PAFAH1B2
79728	PALB2
5077	PAX3
5079	PAX5
5081	PAX7
7849	PAX8
55193	PBRM1
5087	PBX1
5108	PCM1
9159	PCSK7
9659	PDE4DIP
5155	PDGFB
5159	PDGFRB
5187	PER1
84295	PHF6
8929	PHOX2B
8301	PICALM
5292	PIM1
5324	PLAG1
5371	PML
5378	PMS1
5395	PMS2
5396	PMX1
5413	SEPT5
25913	POT1
5450	POU2AF1
5460	POU5F1
5468	PPARG
5518	PPP2R1A
5546	PRCC
639	PRDM1
63976	PRDM16
5551	PRF1
5573	PRKAR1A
11168	PSIP1
5727	PTCH
5728	PTEN
9135	RAB5EP
5879	RAC1
5885	RAD21
5890	RAD51L1
5894	RAF1
5900	RALGDS
64901	RANBP17
5910	RAP1GDS1
5914	RARA
5925	RB1
64783	RBM15
9401	RECQL4
5966	REL
54894	RNF43
6134	RPL10
6146	RPL22
6125	RPL5
6184	RPN1
92017	SNX29
861	RUNX1
7994	KAT6A
51119	SBDS
6385	SDC4
54949	SDHAF2
6390	SDHB
6391	SDHC
6392	SDHD
23157	SEPT6
6418	SET
26040	SETBP1
29072	SETD2
23451	SF3B1
6421	SFPQ
6428	SFRS3
10019	SH2B3
6455	SH3GL1
6491	STIL
10568	SLC34A2
85414	SLC45A3
6597	SMARCA4
6598	SMARCB1
6605	SMARCE1
6657	SOX2
9901	SRGAP3
6427	SRSF2
6760	SS18
26039	SS18L1
6756	SSX1
6757	SSX2
6759	SSX4
10735	STAG2
6774	STAT3
6777	STAT5B
6794	STK11
7955	RNF217-AS1
51684	SUFU
23512	SUZ12
6850	SYK
8148	TAF15
6886	TAL1
6887	TAL2
79718	TBL1XR1
6917	TCEA1
6927	HNF1A
6938	TCF12
6929	TCF3
6934	TCF7L2
8115	TCL1A
27004	TCL6
7015	TERT
54790	TET2
7030	TFE3
7942	TFEB
10342	TFG
29844	TFPT
7037	TFRC
9967	THRAP3
8805	TRIM24
3195	TLX1
30012	TLX3
7113	TMPRSS2
7128	TNFAIP3
8764	TNFRSF14
608	TNFRSF17
7150	TOP1
7157	TP53
7170	TPM3
7171	TPM4
7175	TPR
6955	TRA
84231	TRAF7
6957	TRB
6964	TRD
5987	TRIM27
51592	TRIM33
9321	TRIP11
7248	TSC1
7249	TSC2
150465	TTL
7307	U2AF1
9098	USP6
7428	VHL
143187	VTI1A
7454	WAS
7468	WHSC1
54904	WHSC1L1
11197	WIF1
7486	WRN
7490	WT1
25937	WWTR1
7507	XPA
7508	XPC
7514	XPO1
7531	YWHAE
7704	ZBTB16
7750	ZMYM2
23598	PATZ1
55422	ZNF331
171017	ZNF384
25925	ZNF521
7555	CNBP
8233	ZRSR2
