Entrez_Gene_ID	Gene_Name
5934	RBL2
57521	RPTOR
7248	TSC1
672	BRCA1
4193	MDM2
5106	PCK2
284	ANGPT1
1969	EPHA2
5649	RELN
117145	THEM4
1101	CHAD
200186	CRTC2
10110	SGK2
7450	VWF
2538	G6PC
356	FASLG
5970	RELA
3691	ITGB4
3164	NR4A1
2056	EPO
2997	GYS1
598	BCL2L1
2782	GNB1
6696	SPP1
4893	NRAS
54541	DDIT4
2788	GNG7
3716	JAK1
2785	GNG3
3845	KRAS
596	BCL2
3561	IL2RG
2260	FGFR1
7533	YWHAH
842	CASP9
4609	MYC
5879	RAC1
7448	VTN
1311	COMP
3559	IL2RA
7057	THBS1
12-Mar	FGFR2
94235	GNG8
2784	GNB3
2885	GRB2
22801	ITGA11
2787	GNG5
3563	IL3RA
5159	PDGFRB
3688	ITGB1
23678	SGK3
1386	ATF2
2786	GNG4
2690	GHR
3560	IL2RB
7060	THBS4
51378	ANGPT4
7099	TLR4
3565	IL4
5290	PIK3CA
3913	LAMB2
3914	LAMB3
3910	LAMA4
2475	MTOR
6446	SGK1
3685	ITGAV
2321	FLT1
6194	RPS6
55970	GNG12
1021	CDK6
5728	PTEN
7423	VEGFB
6198	RPS6KB1
1977	EIF4E
3694	ITGB6
3693	ITGB5
5008	OSM
7010	TEK
1129	CHRM2
3655	ITGA6
572	BAD
3679	ITGA7
9623	TCL1B
2247	FGF2
1385	CREB1
4515	MTCP1
5618	PRLR
5563	PRKAA2
10681	GNB5
7532	YWHAG
6654	SOS1
3320	HSP90AA1
1017	CDK2
10319	LAMC3
3551	IKBKB
2149	F2R
5155	PDGFB
3815	KIT
896	CCND3
1435	CSF1
10018	BCL2L11
3575	IL7R
3456	IFNB1
2057	EPOR
5515	PPP2CA
23566	LPAR3
9180	OSMR
2261	FGFR3
56034	PDGFC
7529	YWHAB
10161	LPAR6
7249	TSC2
22798	LAMB4
3479	IGF1
3675	ITGA3
2793	GNGT2
4254	KITLG
8517	IKBKG
5605	MAP2K2
7534	YWHAZ
6794	STK11
2792	GNGT1
3696	ITGB8
894	CCND2
7424	VEGFC
1388	ATF6B
3673	ITGA2
5295	PIK3R1
3492	IGH
5594	MAPK1
3909	LAMA3
5156	PDGFRA
1436	CSF1R
5585	PKN1
9170	LPAR2
1975	EIF4B
5595	MAPK3
3717	JAK2
5617	PRL
1902	LPAR1
54331	GNG2
1019	CDK4
3454	IFNAR1
3918	LAMC2
6850	SYK
6009	RHEB
3911	LAMA5
9586	CREB5
3562	IL3
1440	CSF3
2277	FIGF
1978	EIF4EBP1
5747	PTK2
3630	INS
1942	EFNA1
64223	MLST8
1950	EGF
3371	TNC
3455	IFNAR2
3908	LAMA2
2309	FOXO3
3915	LAMC1
10488	CREB3
3438	IFN1@
8516	ITGA8
285	ANGPT2
1027	CDKN1B
7059	THBS3
3718	JAK3
7531	YWHAE
207	AKT1
5604	MAP2K1
11140	CDC37
4803	NGF
3690	ITGB3
3678	ITGA5
3570	IL6R
3643	INSR
3912	LAMB1
80310	PDGFD
10971	YWHAQ
3480	IGF1R
3676	ITGA4
3695	ITGB7
3082	HGF
3569	IL6
930	CD19
3265	HRAS
1147	CHUK
7097	TLR2
23239	PHLPP
3566	IL4R
5154	PDGFA
2791	GNG11
4790	NFKB1
4233	MET
468	ATF4
8115	TCL1A
59345	GNB4
1128	CHRM1
4804	NGFR
5228	PGF
2790	GNG10
2932	GSK3B
4170	MCL1
3791	KDR
898	CCNE1
2688	GH1
3326	HSP90AB1
5170	PDPK1
284217	LAMA1
5894	RAF1
2846	LPAR4
57121	LPAR5
8515	ITGA10
3674	ITGA2B
2246	FGF1
51764	GNG13
118788	PIK3AP1
2335	FN1
7422	VEGFA
3667	IRS1
1956	EGFR
4602	MYB
3381	IBSP
2264	FGFR4
3558	IL2
7058	THBS2
4846	NOS3
3574	IL7
1441	CSF3R
7157	TP53
3680	ITGA9
595	CCND1
6256	RXRA
2783	GNB2
3672	ITGA1
1026	CDKN1A
2324	FLT4
