Entrez_Gene_ID	Gene_Name
6959	TRBV21OR9-2
6958	TRBV29OR9-2
28525	TRDD1
28523	TRDD3
28524	TRDD2
28677	TRAV9-2
28678	TRAV9-1
28679	TRAV8-7
28680	TRAV8-6
28681	TRAV8-5
28682	TRAV8-4
28683	TRAV8-3
28684	TRAV8-2
28685	TRAV8-1
28672	TRAV12-3
6971	TRGJP1
6972	TRGJP2
28674	TRAV12-1
28673	TRAV12-2
6979	TRGV5P
6960	TRBV25OR9-2
28637	TRBD1
28636	TRBD2
28649	TRAV33
28650	TRAV32
6961	TRBV24OR9-2
28651	TRAV31
28652	TRAV30
28645	TRAV37
28744	TRAJ11
28745	TRAJ10
28647	TRAV35
28648	TRAV34
28740	TRAJ15
28741	TRAJ14
28642	TRAV39
28742	TRAJ13
28643	TRAV38-2DV8
28743	TRAJ12
28736	TRAJ19
28737	TRAJ18
28738	TRAJ17
28739	TRAJ16
6981	TRGV7
28599	TRBV6-8
6982	TRGV8
28600	TRBV6-7
6978	TRGV5
28601	TRBV6-6
6980	TRGV6
28602	TRBV6-5
28603	TRBV6-4
28604	TRBV6-3
6983	TRGV9
28605	TRBV6-2
28606	TRBV6-1
28595	TRBV7-3
28596	TRBV7-2
28597	TRBV7-1
28639	TRBC1
6976	TRGV3
28591	TRBV7-7
28638	TRBC2
6977	TRGV4
28592	TRBV7-6
6973	TRGV1
28593	TRBV7-5
28558	TRBV29-1
6974	TRGV2
28594	TRBV7-4
28641	TRAV40
28518	TRDV1
28640	TRAV41
28590	TRBV7-8
28516	TRDV3
28589	TRBV7-9
28517	TRDV2
28735	TRAJ20
28733	TRAJ22
28734	TRAJ21
28731	TRAJ24
28732	TRAJ23
28729	TRAJ26
28669	TRAV14DV4
28730	TRAJ25
28727	TRAJ28
28728	TRAJ27
28598	TRBV6-9
6987	TRGVB
28726	TRAJ29
6986	TRGVA
28722	TRAJ33
28668	TRAV15
28723	TRAJ32
28724	TRAJ31
28725	TRAJ30
28574	TRBV13
28675	TRAV11
28573	TRBV14
28676	TRAV10
28572	TRBV15
28571	TRBV16
28570	TRBV17
28569	TRBV18
28568	TRBV19
28716	TRAJ39
28717	TRAJ38
28718	TRAJ37
28664	TRAV19
28719	TRAJ36
28665	TRAV18
246283	TRBV22OR9-2
28720	TRAJ35
28666	TRAV17
28721	TRAJ34
28667	TRAV16
28578	TRBV12-2
28577	TRBV12-3
28576	TRBV12-4
28575	TRBV12-5
28579	TRBV12-1
28713	TRAJ42
28659	TRAV24
28714	TRAJ41
28711	TRAJ44
28712	TRAJ43
28658	TRAV25
28663	TRAV20
28646	TRAV36DV7
28715	TRAJ40
28661	TRAV22
28662	TRAV21
28706	TRAJ49
28709	TRAJ46
28654	TRAV28
28710	TRAJ45
28655	TRAV27
28707	TRAJ48
28708	TRAJ47
28644	TRAV38-1
28521	TRDJ2
28520	TRDJ3
28522	TRDJ1
6966	TRGC1
6967	TRGC2
28557	TRBV30
28755	TRAC
246286	TRBVAOR9-2
28552	TRBV23OR9-2
28519	TRDJ4
6968	TRGJ1
6969	TRGJ2
28559	TRBV28
28560	TRBV27
28561	TRBV26
6964	TRD
6957	TRB
28694	TRAJ61
6955	TRA
28562	TRBV25-1
28695	TRAJ60
28619	TRBV3-1
28567	TRBV20-1
28618	TRBV3-2
28526	TRDC
6965	TRG
28656	TRAV26-2
28564	TRBV23-1
28565	TRBV22-1
28563	TRBV24-1
28614	TRBV5-1
28627	TRBJ2-2P
28691	TRAV2
28657	TRAV26-1
28609	TRBV5-6
28608	TRBV5-7
28607	TRBV5-8
28621	TRBV1
28613	TRBV5-2
28566	TRBV21-1
28612	TRBV5-3
28611	TRBV5-4
28610	TRBV5-5
28703	TRAJ52
28702	TRAJ53
28586	TRBV9
28701	TRAJ54
28700	TRAJ55
28705	TRAJ50
28620	TRBV2
28704	TRAJ51
28688	TRAV5
6956	TRAV6
28556	TRBVA
28690	TRAV3
28689	TRAV4
28699	TRAJ56
6962	TRBV20OR9-2
28698	TRAJ57
28686	TRAV7
28697	TRAJ58
28696	TRAJ59
103106900	TRBVC
28555	TRBVB
28693	TRAV1-1
28635	TRBJ1-1
28692	TRAV1-2
28622	TRBJ2-7
28624	TRBJ2-5
28623	TRBJ2-6
28626	TRBJ2-3
28625	TRBJ2-4
28629	TRBJ2-1
28628	TRBJ2-2
28631	TRBJ1-5
28632	TRBJ1-4
28633	TRBJ1-3
28634	TRBJ1-2
28587	TRBV8-2
28588	TRBV8-1
28630	TRBJ1-6
246285	TRBV26OR9-2
28615	TRBV4-3
28583	TRBV10-3
28584	TRBV10-2
28585	TRBV10-1
28580	TRBV11-3
28660	TRAV23DV6
28749	TRAJ6
28581	TRBV11-2
28750	TRAJ5
28582	TRBV11-1
28751	TRAJ4
6984	TRGV10
28752	TRAJ3
6985	TRGV11
28753	TRAJ2
28754	TRAJ1
28617	TRBV4-1
28616	TRBV4-2
6970	TRGJP
28746	TRAJ9
28748	TRAJ7
28747	TRAJ8
28671	TRAV13-1
28670	TRAV13-2
28653	TRAV29DV5
