Entrez_Gene_ID	Gene_Name
90	ACVR1
207	AKT1
10000	AKT3
238	ALK
29123	ANKRD11
324	APC
367	AR
369	ARAF
8289	ARID1A
57492	ARID1B
196528	ARID2
55252	ASXL2
472	ATM
546	ATRX
8312	AXIN1
558	AXL
567	B2M
8915	BCL10
596	BCL2
10018	BCL2L11
604	BCL6
54880	BCOR
673	BRAF
675	BRCA2
23476	BRD4
84433	CARD11
841	CASP8
865	CBFB
867	CBL
595	CCND1
896	CCND3
974	CD79B
999	CDH1
51755	CDK12
1019	CDK4
1021	CDK6
1026	CDKN1A
1027	CDKN1B
1029	CDKN2A
11200	CHEK2
23152	CIC
1387	CREBBP
64109	CRLF2
10664	CTCF
1493	CTLA4
1499	CTNNB1
8452	CUL3
57105	CYSLTR2
23405	DICER1
22894	DIS3
3337	DNAJB1
1786	DNMT1
1788	DNMT3A
1789	DNMT3B
1956	EGFR
1964	EIF1AX
1974	EIF4A2
2033	EP300
2034	EPAS1
2042	EPHA3
2045	EPHA7
2047	EPHB1
2064	ERBB2
2065	ERBB3
2066	ERBB4
2068	ERCC2
2071	ERCC3
2078	ERG
54206	ERRFI1
2099	ESR1
2120	ETV6
2146	EZH2
92002	FAM58A
2195	FAT1
55294	FBXW7
2260	FGFR1
2263	FGFR2
2261	FGFR3
2264	FGFR4
2271	FH
2322	FLT3
3169	FOXA1
668	FOXL2
2308	FOXO1
27086	FOXP1
8880	FUBP1
2624	GATA2
2625	GATA3
2735	GLI1
2767	GNA11
2776	GNAQ
2778	GNAS
2874	GPS2
2932	GSK3B
2969	GTF2I
3020	H3F3A
3082	HGF
3006	HIST1H1C
8358	HIST1H3B
8352	HIST1H3C
8357	HIST1H3H
3105	HLA-A
3106	HLA-B
6927	HNF1A
3265	HRAS
3417	IDH1
3418	IDH2
3480	IGF1R
10320	IKZF1
3575	IL7R
3636	INPPL1
3662	IRF4
8660	IRS2
3716	JAK1
3725	JUN
7403	KDM6A
3791	KDR
9817	KEAP1
3815	KIT
9314	KLF4
4297	KMT2A
58508	KMT2C
8085	KMT2D
90417	KNSTRN
3845	KRAS
4067	LYN
5604	MAP2K1
5605	MAP2K2
6416	MAP2K4
4214	MAP3K1
9175	MAP3K13
5594	MAPK1
4149	MAX
9968	MED12
100271849	MEF2B
4233	MET
23269	MGA
4436	MSH2
4485	MST1
2475	MTOR
4609	MYC
4613	MYCN
4615	MYD88
4654	MYOD1
8202	NCOA3
4763	NF1
4780	NFE2L2
4851	NOTCH1
4853	NOTCH2
4893	NRAS
64324	NSD1
9688	NUP93
142	PARP1
5079	PAX5
55193	PBRM1
5156	PDGFRA
5170	PDPK1
5241	PGR
5290	PIK3CA
5291	PIK3CB
5293	PIK3CD
5295	PIK3R1
5296	PIK3R2
5292	PIM1
10769	PLK2
5395	PMS2
5426	POLE
8493	PPM1D
5518	PPP2R1A
151987	PPP4R2
5537	PPP6C
63978	PRDM14
80243	PREX2
5584	PRKCI
5728	PTEN
5781	PTPN11
5789	PTPRD
5802	PTPRS
11122	PTPRT
5879	RAC1
10111	RAD50
5889	RAD51C
5893	RAD52
5894	RAF1
5914	RARA
5925	RB1
8241	RBM10
9401	RECQL4
5979	RET
6009	RHEB
387	RHOA
253260	RICTOR
6016	RIT1
54894	RNF43
8986	RPS6KA4
57521	RPTOR
22800	RRAS2
861	RUNX1
6256	RXRA
6389	SDHA
54949	SDHAF2
83667	SESN2
29072	SETD2
23451	SF3B1
4087	SMAD2
4088	SMAD3
4089	SMAD4
6597	SMARCA4
6598	SMARCB1
6602	SMARCD1
6608	SMO
8651	SOCS1
6654	SOS1
64321	SOX17
8405	SPOP
161742	SPRED1
6427	SRSF2
10735	STAG2
6774	STAT3
6794	STK11
8859	STK19
23512	SUZ12
6926	TBX3
6921	TCEB1
6929	TCF3
6934	TCF7L2
80312	TET1
54790	TET2
7046	TGFBR1
7048	TGFBR2
8764	TNFRSF14
7157	TP53
8626	TP63
84231	TRAF7
7248	TSC1
7307	U2AF1
7428	VHL
7468	WHSC1
7514	XPO1
