Entrez_Gene_ID	Gene_Name
25912	C1orf43
27243	CHMP2A
56851	EMC7
2821	GPI
5690	PSMB2
5692	PSMB4
7879	RAB7A
7905	REEP5
6634	SNRPD3
7415	VCP
51699	VPS29
6872	TAF1
6874	TAF4
6875	TAF4B
6877	TAF5
6878	TAF6
6879	TAF7
6880	TAF9
6881	TAF10
6882	TAF11
6883	TAF12
6884	TAF13
6908	TBP
2959	GTF2B
2957	GTF2A1
2958	GTF2A2
5430	POLR2A
5431	POLR2B
5432	POLR2C
5433	POLR2D
5434	POLR2E
5435	POLR2F
5436	POLR2G
5437	POLR2H
5438	POLR2I
5439	POLR2J
5440	POLR2K
5441	POLR2L
2962	GTF2F1
2963	GTF2F2
2960	GTF2E1
2961	GTF2E2
1022	CDK7
902	CCNH
4331	MNAT1
2068	ERCC2
2071	ERCC3
2965	GTF2H1
2966	GTF2H2
2967	GTF2H3
2968	GTF2H4
9150	CTDP1
6829	SUPT5H
6827	SUPT4H1
7469	WHSC2
25920	NELFB
51497	NELFCD
7936	NELFE
904	CCNT1
905	CCNT2
1025	CDK9
6917	TCEA1
8178	ELL
11198	SUPT16H
6921	TCEB1
6923	TCEB2
6924	TCEB3
11338	U2AF2
6426	SFRS1
6427	SFRS2
6428	SFRS3
6429	SFRS4
6430	SFRS5
6431	SFRS6
6432	SFRS7
8683	SFRS9
9295	SFRS11
7536	SF1
57794	SUGP1
1660	DHX9
4904	YBX1
55749	CCAR1
10181	RBM5
11100	HNRPUL1
10421	CD2BP2
8243	SMC1A
10189	THOC4
10250	SRRM1
10921	RNPS1
4799	NFX1
9785	DHX38
51362	CDC40
22826	DNAJC8
65109	UPF3B
9939	RBM8A
4116	MAGOH
10949	HNRPA0
3178	HNRNPA1
3181	HNRPA2B1
220988	HNRPA3
3183	HNRPC
3184	HNRPD
3185	HNRPF
27316	RBMX
3187	HNRPH1
3188	HNRPH2
5725	PTBP1
3190	HNRNPK
3191	HNRNPL
4670	HNRNPM
10236	HNRPR
3192	HNRPU
5093	PCBP1
5094	PCBP2
6628	SNRPB
6632	SNRPD1
6633	SNRPD2
6635	SNRPE
6636	SNRPF
6637	SNRPG
6625	SNRP70
6626	SNRPA
6631	SNRPC
6627	SNRPA1
6629	SNRPB2
10291	SF3A1
8175	SF3A2
10946	SF3A3
23451	SF3B1
10992	SF3B2
23450	SF3B3
10262	SF3B4
83443	SF3B5
51639	SF3B6
84844	PHF5A
4809	NHP2L1
9128	PRPF4
57819	LSM2
10907	TXNL4A
9410	SNRNP40
9416	DDX23
24148	PRPF6
9343	EFTUD2
23020	ASCC3L1
8732	RNGTT
8731	RNMT
4686	NCBP1
22916	NCBP2
29894	CPSF1
53981	CPSF2
51692	CPSF3
10898	CPSF4
1477	CSTF1
1478	CSTF2
1479	CSTF3
11051	NUDT21
79869	CPSF7
10978	CLP1
51585	PCF11
10914	PAPOLA
57122	NUP107
55746	NUP133
9972	NUP153
9631	NUP155
23279	NUP160
23511	NUP188
23165	NUP205
23225	NUP210
8021	NUP214
129401	NUP35
79023	NUP37
348995	NUP43
10762	NUP50
53371	NUP54
23636	NUP62
79902	NUP85
4927	NUP88
9688	NUP93
4928	NUP98
9818	NUPL1
11097	NUPL2
8086	AAAS
9883	POM121
8480	RAE1
81929	SEH1L
5903	RANBP2
7175	TPR
10209	EIF1
1964	EIF1AX
1965	EIF2S1
8894	EIF2S2
1968	EIF2S3
1967	EIF2B1
8892	EIF2B2
8891	EIF2B3
8890	EIF2B4
8893	EIF2B5
8669	EIF3J
8668	EIF3I
8667	EIF3H
8666	EIF3G
8665	EIF3F
3646	EIF3E
8664	EIF3D
8663	EIF3C
8662	EIF3B
8661	EIF3SA
27335	EIF3SK
1973	EIF4A1
1974	EIF4A2
1977	EIF4E
1978	EIF4EBP1
1981	EIF4G1
1975	EIF4B
7458	EIF4H
1983	EIF5
9669	EIF5B
1915	EEF1A1
1938	EEF2
1933	EEF1B2
1936	EEF1D
1937	EEF1G
2107	ETF1
23708	GSPT2
16	AARS
833	CARS
1615	DARS
2058	EPRS
2193	FARSA
10056	FARSB
2617	GARS
3035	HARS
3376	IARS
3735	KARS
51520	LARS
4141	MARS
4677	NARS
5859	QARS
5917	RARS
6301	SARS
6897	TARS
7407	VARS
7453	WARS
8565	YARS
6187	RPS2
6188	RPS3
6189	RPS3A
6192	RPS4Y1
6193	RPS5
6194	RPS6
6201	RPS7
6202	RPS8
6203	RPS9
6204	RPS10
6205	RPS11
6206	RPS12
6207	RPS13
6208	RPS14
6209	RPS15
6210	RPS15A
6217	RPS16
6218	RPS17
6222	RPS18
6223	RPS19
6224	RPS20
6227	RPS21
6228	RPS23
6229	RPS24
6230	RPS25
6231	RPS26
6232	RPS27
6233	RPS27A
6234	RPS28
6235	RPS29
2197	FAU
3921	RPSA
6175	RPLP0
6176	RPLP1
6181	RPLP2
6122	RPL3
6123	RPL3L
6124	RPL4
6125	RPL5
6128	RPL6
6129	RPL7
6130	RPL7A
6132	RPL8
6133	RPL9
6134	RPL10
4736	RPL10A
6135	RPL11
