Entrez_Gene_ID	Gene_Name
27	ABL2 
91	ACVR1B
92	ACVR2A
11086	ADAM29
80332	ADAM33
170692	ADAMTS18
80070	ADAMTS20
131	ADH7
137872	ADHFE1
10142	AKAP9
246	ALOX15
115701	ALPK2
57538	ALPK3
57679	ALS2
51433	ANAPC5
54518	APBB1IP
324	APC
338	APOB
9411	ARHGAP29
395	ARHGAP6
9826	ARHGEF11
8289	ARID1A
171023	ASXL1
472	ATM
545	ATR
546	ATRX
6790	AURKA
558	AXL
11177	BAZ1A
63035	BCORL1
57448	BIRC6
657	BMPR1A
672	BRCA1
675	BRCA2
6046	BRD2
8019	BRD3
55237	VRTN
169436	STKLD1
790	CAD
8573	CASK
57124	CD248
8476	CDC42BPA
9578	CDC42BPB
8317	CDC7
79577	CDC73
999	CDH1
8999	CDKL2
1029	CDKN2A
1040	CDS1
1050	CEBPA
1063	CENPF
9744	ACAP1
64411	ARAP3
23491	CES3
56780	CHD8
1111	CHEK1
1147	CHUK
23152	CIC
63967	CLSPN
1272	CNTN1
7373	COL14A1
1277	COL1A1
1294	COL7A1
114788	CSMD3
1495	CTNNA1
1501	CTNND2
1512	CTSH
8029	CUBN
645090	CXorf30
1540	CYLD
10926	DBF4
1627	DBN1
4921	DDR2
80243	PREX2
1608	DGKG
22982	DIP2C
10395	DLC1
120526	DNAJC24
8445	DYRK2
27102	EIF2AK1
853114	ELP2
57634	EP400
2047	EPHB1
51614	ERGIC3
10595	ERN2
132884	EVC2
2122	MECOM
60412	EXOC4
2146	EZH2
2151	F2RL2
139285	AMER1
55294	FBXW7
2534	FYN
9908	G3BP2
2623	GATA1
348654	GEN1
2737	GLI3
25960	GPR124
27198	HCAR1
2869	GRK5
2986	GUCY2F
1404	HAPLN1
9759	HDAC4
3069	HDLBP
8925	HERC1
55008	HERC6
3091	HIF1A
6927	HNF1A
22858	ICK
3480	IGF1R
8518	IKBKAP
3551	IKBKB
22806	IKZF3
51147	ING4
8515	ITGA10
3680	ITGA9
3689	ITGB2
3690	ITGB3
3691	ITGB4
3702	ITK
50618	ITSN2
5927	 KDM5A
8242	KDM5C
23199	GSE1
57578	UNC79
9735	KNTC1
3915	LAMC1
3916	LAMP1
26524	LATS2
3945	LDHB
57554	LRRC7
120892	LRRK2
4052	LTBP1
4057	LTF
23499	MACF1
158056	MAMDC4
6416	MAP2K4
5609	MAP2K7
10746	MAP3K2
9064	MAP3K6
9448	MAP4K4
5603	MAPK13
4139	MARK1
57787	MARK4
375449	MAST4
8888	MCM3AP
4221	MEN1
84206	MEX3B
23269	MGA
93627	TBCK
167359	NIM1K
64780	MICAL1
50488	MINK1
4292	MLH1
414897	MLL
4325	MMP16
4436	MSH2
2956	MSH6
8897	MTMR3
4629	MYH11
85366	MYLK2
55728	N4BP2
4683	NBN
135112	NCOA7
79858	NEK11
140609	NEK7
284086	NEK8
91754	NEK9
4763	NF1
4771	NF2
4790	NFKB1
51199	NIN
25836	NIPBL
54475	NLE1
22861	NLRP1
126206	NLRP5
4851	NOTCH1
4853	NOTCH2
4869	NPM1
29959	NRBP1
203447	NRK
8021	NUP214
4928	NUP98
84033	OBSCN
57144	PAK7
142	PARP1
5165	PDK3
29951	PDZRN4
5187	PER1
9678	PHF14
8929	PHOX2B
11040	PIM2
353497	POLN
5573	PRKAR1A
5578	PRKCA
25865	PRKD2
5727	PTCH1
5728	PTEN
5780	PTPN9
56852	RAD18
5885	RAD21
10111	RAD50
25788	RAD54B
22821	RASA3
592	RB1
5980	REV3L
5984	RFC4
5990	RFX2
821251	RGL2
63891	RNF123
6093	ROCK1
9475	ROCK2
4920	ROR2
6196	RPS6KA2
861	RUNX1
26054	SENP6
390502	SERPINA2
29072	SETD2
6431	SFRS6
23678	SGK3
124923	SGK494
83931	SGK495
4087	SMAD2
4088	SMAD3
4089	SMAD4
6597	SMARCA4
6598	SMARCB1
851099	SMC6
23049	SMG1
150094	SIK1
23161	SNX13
8651	SOCS1
6653	SORL1
6664	SOX11
10290	SPEG
856364	SPO11
6709	SPTAN1
6714	SRC
6733	SRPK2
6794	STK11
8859	STK19
55351	STK32B
282974	STK32C
27148	STK36
51684	SUFU
23224	SYNE2
6872	TAF1
138474	TAF1L
6938	TCF12
6934	TCF7L2
7007	TECTA
7048	TGFBR2
164656	TMPRSS6
7128	TNFAIP3
10188	TNK2
80351	TNKS2
51086	TNNI3K
3842	TNPO1
23534	TNPO3
7155	TOP2B
7157	TP53
7173	TPO
51592	TRIM33
55521	TRIM36
9321	TRIP11
7248	TSC1
146057	TTBK2
7272	TTK
11344	TWF2
7297	TYK2
7342	UBP1
23352	UBR4
9706	ULK2
23358	USP24
159195	USP54
7403	KDM6A
79674	VEPH1
7428	VHL
65268	WNK2
65266	WNK4
7486	WRN
7490	WT1
2547	XRCC6
340554	ZC3H12B
9202	ZMYM4
171017	ZNF384
